stego_filename,subset,expected_type,payload_type,payload_size_class,lsb,mode,predicted_type,correct
XL-Synthetic_14_B__docx_medium__lsb3.bmp,extended_xl,DOCX,DOCX,medium,3,full,DOCX,1
XL-Synthetic_14_B__docx_medium__lsb3.bmp,extended_xl,DOCX,DOCX,medium,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__docx_medium__lsb3.bmp,extended_xl,DOCX,DOCX,medium,3,no_buffer,ZIP,0
XL-Synthetic_14_B__docx_medium__lsb3.bmp,extended_xl,DOCX,DOCX,medium,3,no_markers,ZIP,0
XL-Synthetic_14_B__docx_small__lsb1.bmp,extended_xl,DOCX,DOCX,small,1,full,DOCX,1
XL-Synthetic_14_B__docx_small__lsb1.bmp,extended_xl,DOCX,DOCX,small,1,no_deinterleaving,DOCX,1
XL-Synthetic_14_B__docx_small__lsb1.bmp,extended_xl,DOCX,DOCX,small,1,no_buffer,ZIP,0
XL-Synthetic_14_B__docx_small__lsb1.bmp,extended_xl,DOCX,DOCX,small,1,no_markers,ZIP,0
XL-Synthetic_14_B__docx_small__lsb2.bmp,extended_xl,DOCX,DOCX,small,2,full,DOCX,1
XL-Synthetic_14_B__docx_small__lsb2.bmp,extended_xl,DOCX,DOCX,small,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__docx_small__lsb2.bmp,extended_xl,DOCX,DOCX,small,2,no_buffer,ZIP,0
XL-Synthetic_14_B__docx_small__lsb2.bmp,extended_xl,DOCX,DOCX,small,2,no_markers,ZIP,0
XL-Synthetic_14_B__docx_small__lsb3.bmp,extended_xl,DOCX,DOCX,small,3,full,DOCX,1
XL-Synthetic_14_B__docx_small__lsb3.bmp,extended_xl,DOCX,DOCX,small,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__docx_small__lsb3.bmp,extended_xl,DOCX,DOCX,small,3,no_buffer,ZIP,0
XL-Synthetic_14_B__docx_small__lsb3.bmp,extended_xl,DOCX,DOCX,small,3,no_markers,ZIP,0
XL-Synthetic_14_B__exe_large__lsb1.bmp,extended_xl,EXE,EXE,large,1,full,EXE,1
XL-Synthetic_14_B__exe_large__lsb1.bmp,extended_xl,EXE,EXE,large,1,no_deinterleaving,EXE,1
XL-Synthetic_14_B__exe_large__lsb1.bmp,extended_xl,EXE,EXE,large,1,no_buffer,EXE,1
XL-Synthetic_14_B__exe_large__lsb1.bmp,extended_xl,EXE,EXE,large,1,no_markers,EXE,1
XL-Synthetic_14_B__exe_large__lsb2.bmp,extended_xl,EXE,EXE,large,2,full,EXE,1
XL-Synthetic_14_B__exe_large__lsb2.bmp,extended_xl,EXE,EXE,large,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__exe_large__lsb2.bmp,extended_xl,EXE,EXE,large,2,no_buffer,EXE,1
XL-Synthetic_14_B__exe_large__lsb2.bmp,extended_xl,EXE,EXE,large,2,no_markers,EXE,1
XL-Synthetic_14_B__exe_large__lsb3.bmp,extended_xl,EXE,EXE,large,3,full,EXE,1
XL-Synthetic_14_B__exe_large__lsb3.bmp,extended_xl,EXE,EXE,large,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__exe_large__lsb3.bmp,extended_xl,EXE,EXE,large,3,no_buffer,EXE,1
XL-Synthetic_14_B__exe_large__lsb3.bmp,extended_xl,EXE,EXE,large,3,no_markers,EXE,1
XL-Synthetic_14_B__exe_medium__lsb1.bmp,extended_xl,EXE,EXE,medium,1,full,EXE,1
XL-Synthetic_14_B__exe_medium__lsb1.bmp,extended_xl,EXE,EXE,medium,1,no_deinterleaving,EXE,1
XL-Synthetic_14_B__exe_medium__lsb1.bmp,extended_xl,EXE,EXE,medium,1,no_buffer,EXE,1
XL-Synthetic_14_B__exe_medium__lsb1.bmp,extended_xl,EXE,EXE,medium,1,no_markers,EXE,1
XL-Synthetic_14_B__exe_medium__lsb2.bmp,extended_xl,EXE,EXE,medium,2,full,EXE,1
XL-Synthetic_14_B__exe_medium__lsb2.bmp,extended_xl,EXE,EXE,medium,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__exe_medium__lsb2.bmp,extended_xl,EXE,EXE,medium,2,no_buffer,EXE,1
XL-Synthetic_14_B__exe_medium__lsb2.bmp,extended_xl,EXE,EXE,medium,2,no_markers,EXE,1
XL-Synthetic_14_B__exe_medium__lsb3.bmp,extended_xl,EXE,EXE,medium,3,full,EXE,1
XL-Synthetic_14_B__exe_medium__lsb3.bmp,extended_xl,EXE,EXE,medium,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__exe_medium__lsb3.bmp,extended_xl,EXE,EXE,medium,3,no_buffer,EXE,1
XL-Synthetic_14_B__exe_medium__lsb3.bmp,extended_xl,EXE,EXE,medium,3,no_markers,EXE,1
XL-Synthetic_14_B__exe_small__lsb1.bmp,extended_xl,EXE,EXE,small,1,full,EXE,1
